,n,eps,D,kernel_size,kernel_size_n,kernel_size_theoric,nc_diag_prekernel,nc_diag_postkernel,removed_instances,max_removed
212,500,0.06666666666666667,500,10.05,0.020099999999999996,272.19733333333335,253.31,8.78,244.2,14.37
213,500,0.06666666666666667,750,40.61,0.08122000000000001,325.6586666666666,303.43,36.88,192.66,15.72
214,500,0.06666666666666667,1000,100.08,0.20015999999999998,364.12266666666665,339.49,93.87,154.28,16.0
215,500,0.03333333333333333,50,0.0,0.0,48.67566666666667,45.17,0.0,452.83,5.54
216,500,0.03333333333333333,250,0.0,0.0,176.79866666666666,169.16,0.0,328.84,10.31
217,500,0.03333333333333333,500,0.0,0.0,262.99933333333337,252.58,0.0,245.42,16.93
218,500,0.03333333333333333,750,4.69,0.009380000000000001,314.9760000000001,302.88,4.32,194.99,23.09
219,500,0.03333333333333333,1000,18.23,0.036460000000000006,349.5823333333334,336.37,16.96,161.16,25.31
220,1000,1.0,100,173.71,0.17370999999999995,184.08,91.04,91.04,826.29,3.0
221,1000,1.0,500,534.28,0.53428,674.6,336.3,336.3,465.72,3.0
222,1000,1.0,1000,708.05,0.7080499999999996,1020.72,509.36,509.36,291.95,3.0
223,1000,1.0,1500,782.46,0.78246,1219.46,608.73,608.73,217.54,3.0
224,1000,1.0,2000,823.53,0.82353,1350.94,674.47,674.47,176.47,3.0
225,1000,0.3333333333333333,100,6.04,0.00604,123.65333333333334,91.24,3.53,905.65,5.0
226,1000,0.3333333333333333,500,166.33,0.16633000000000003,449.82666666666665,335.87,130.48,628.28,5.0
227,1000,0.3333333333333333,1000,404.87,0.40487,680.1466666666665,508.61,335.69,422.21,5.0
228,1000,0.3333333333333333,1500,561.71,0.56171,816.2399999999999,610.68,482.73,310.34,5.0
229,1000,0.3333333333333333,2000,659.0,0.659,907.9866666666667,679.49,581.84,243.35,5.0
230,1000,0.3,100,0.89,0.00089,120.495,91.15,0.53,906.73,5.69
231,1000,0.3,500,91.3,0.09129999999999999,437.695,335.15,74.22,647.77,6.0
232,1000,0.3,1000,305.45,0.30545,661.893,507.61,260.85,447.79,6.0
233,1000,0.3,1500,479.71,0.47971,794.4279999999999,609.56,421.34,332.07,6.0
234,1000,0.3,2000,592.15,0.5921500000000001,884.2580000000002,678.66,532.07,261.26,6.0
235,1000,0.26666666666666666,100,0.89,0.0008900000000000001,117.34266666666666,91.06,0.54,906.81,5.64
236,1000,0.26666666666666666,500,89.47,0.08946999999999998,426.92866666666663,335.47,72.58,647.64,6.0
237,1000,0.26666666666666666,1000,310.51,0.31051,644.4026666666667,507.16,265.55,447.88,6.0
238,1000,0.26666666666666666,1500,472.76,0.4727599999999999,773.7546666666666,609.28,415.23,333.19,6.0
239,1000,0.26666666666666666,2000,587.63,0.58763,857.9626666666669,675.76,527.6,264.21,6.0
240,1000,0.23333333333333334,100,0.17,0.00017,114.75133333333335,91.42,0.11,906.56,5.77
241,1000,0.23333333333333334,500,53.78,0.05378000000000002,417.9293333333333,337.24,44.27,653.25,7.0
242,1000,0.23333333333333334,1000,230.62,0.23062000000000002,625.7460000000001,505.74,200.68,464.32,7.0
243,1000,0.23333333333333334,1500,402.71,0.40270999999999996,753.1740000000001,609.06,359.52,347.75,7.0
244,1000,0.23333333333333334,2000,529.46,0.52946,836.942,676.98,481.5,275.06,7.0
245,1000,0.2,100,0.08,8e-05,111.332,91.11,0.05,906.88,5.76
246,1000,0.2,500,48.95,0.048949999999999994,402.88399999999996,334.07,40.13,657.11,7.0
247,1000,0.2,1000,231.26,0.23126000000000005,610.16,506.8,201.42,463.36,7.0
248,1000,0.2,1500,404.24,0.40424000000000004,734.12,610.1,361.31,346.97,7.0
249,1000,0.2,2000,533.72,0.53372,816.3079999999999,678.59,485.3,272.99,7.0
250,1000,0.16666666666666666,100,0.0,0.0,108.14333333333332,90.98,0.0,907.02,5.76
251,1000,0.16666666666666666,500,27.17,0.02717,395.34166666666664,337.15,22.01,657.67,7.98
252,1000,0.16666666666666666,1000,176.65,0.17665000000000006,593.325,506.85,155.93,472.43,8.0
253,1000,0.16666666666666666,1500,348.14,0.34814,713.9583333333335,610.25,314.45,356.06,8.0
254,1000,0.16666666666666666,2000,476.93,0.47692999999999997,793.805,678.69,437.67,282.05,8.0
255,1000,0.13333333333333333,100,0.0,0.0,105.19,91.05,0.0,906.95,5.78
256,1000,0.13333333333333333,500,8.82,0.00882,382.5733333333335,335.8,6.94,661.44,9.48
257,1000,0.13333333333333333,1000,104.45,0.10444999999999999,578.0619999999999,508.29,93.52,480.78,9.97
258,1000,0.13333333333333333,1500,243.25,0.24325,691.5313333333336,608.41,222.93,371.27,9.99
259,1000,0.13333333333333333,2000,385.94,0.38594,769.5273333333333,677.23,358.67,295.5,9.99
260,1000,0.1,100,0.0,0.0,101.51700000000002,90.47,0.0,907.53,5.85
261,1000,0.1,500,2.73,0.0027300000000000002,371.358,335.78,2.17,662.02,10.42
262,1000,0.1,1000,61.67,0.06167000000000001,562.087,509.17,55.3,484.46,11.82
263,1000,0.1,1500,188.01,0.18800999999999998,670.5140000000002,607.74,173.96,378.21,11.96
264,1000,0.1,2000,317.45,0.31745,745.9850000000001,676.35,297.23,303.43,11.94
265,1000,0.06666666666666667,100,0.0,0.0,99.29066666666665,91.21,0.0,906.79,5.78
266,1000,0.06666666666666667,500,0.0,0.0,359.5573333333333,335.21,0.0,662.79,11.18
267,1000,0.06666666666666667,1000,20.41,0.020409999999999998,540.0906666666666,504.46,18.08,492.53,15.26
268,1000,0.06666666666666667,1500,88.8,0.08879999999999999,652.2506666666667,609.61,82.67,384.24,16.34
269,1000,0.06666666666666667,2000,196.52,0.19651999999999997,726.2239999999999,678.96,186.16,310.68,16.66
270,1000,0.03333333333333333,100,0.0,0.0,95.35133333333334,90.34,0.0,907.66,5.77
271,1000,0.03333333333333333,500,0.0,0.0,346.4926666666667,333.38,0.0,664.62,11.06
272,1000,0.03333333333333333,1000,0.0,0.0,527.4603333333334,508.51,0.0,489.49,19.11
273,1000,0.03333333333333333,1500,9.08,0.009080000000000001,630.0600000000001,607.8,8.38,389.96,25.25
274,1000,0.03333333333333333,2000,58.03,0.05803,702.7550000000003,678.15,54.99,318.45,28.24
